policy_id,customer_id,coverage_type,vehicle_age,annual_premium,accident_year
P502602,C102602,Comprehensive,7,1851.47,2022
P502603,C102603,Liability,3,1007.35,2023
P502604,C102604,Collision,5,1963.09,2021
P502605,C102605,Collision,1,1849.38,2024
P502606,C102606,Liability,8,1085.23,2023
P502607,C102607,Collision,4,1303.69,2024
P502608,C102608,Collision,10,2473.04,2023
P502609,C102609,Liability,5,1128.0,2023
P502610,C102610,Collision,4,1594.8,2023
P502611,C102611,Collision,3,1290.43,2024
P502612,C102612,Collision,4,1112.24,2022
P502613,C102613,Collision,4,2131.37,2023
P502614,C102614,Comprehensive,3,2142.71,2024
P502615,C102615,Collision,3,1428.03,2024
P502616,C102616,Collision,17,1652.43,2023
P502617,C102617,Liability,5,700.61,2024
P502618,C102618,Comprehensive,1,2065.36,2021
P502619,C102619,Liability,1,758.86,2022
P502620,C102620,Liability,18,700.72,2023
P502621,C102621,Collision,5,1304.38,2021
P502622,C102622,Comprehensive,2,1638.24,2023
P502623,C102623,Liability,11,1362.99,2024
P502624,C102624,Collision,3,2387.13,2021
P502625,C102625,Liability,6,724.72,2023
P502626,C102626,Liability,6,1210.57,2021
P502627,C102627,Collision,2,944.01,2021
P502628,C102628,Liability,3,863.64,2021
P502629,C102629,Comprehensive,9,1595.52,2022
P502630,C102630,Liability,13,1281.96,2024
P502631,C102631,Collision,9,2108.88,2023
P502632,C102632,Liability,7,1291.79,2021
P502633,C102633,Liability,4,1080.98,2024
P502634,C102634,Collision,8,1877.26,2023
P502635,C102635,Collision,8,1067.07,2023
P502636,C102636,Liability,13,1293.79,2023
P502637,C102637,Liability,5,918.35,2024
P502638,C102638,Liability,21,1454.92,2023
P502639,C102639,Comprehensive,10,2527.11,2023
P502640,C102640,Comprehensive,5,1602.73,2021
P502641,C102641,Liability,11,1618.73,2021
P502642,C102642,Liability,4,910.58,2022
P502643,C102643,Collision,3,1374.86,2023
P502644,C102644,Collision,1,1309.07,2024
P502645,C102645,Liability,17,1193.31,2021
P502646,C102646,Liability,4,1139.19,2024
P502647,C102647,Collision,8,1456.73,2022
P502648,C102648,Collision,10,1241.52,2024
P502649,C102649,Collision,4,1583.59,2022
P502650,C102650,Collision,5,1944.05,2022
P502651,C102651,Liability,1,955.38,2023
P502652,C102652,Collision,3,1743.43,2024
P502653,C102653,Collision,2,1077.72,2022
P502654,C102654,Collision,20,1408.44,2024
P502655,C102655,Liability,5,854.66,2024
P502656,C102656,Collision,3,1319.78,2022
P502657,C102657,Liability,4,1726.6,2021
P502658,C102658,Comprehensive,6,1901.33,2023
P502659,C102659,Liability,3,716.52,2022
P502660,C102660,Comprehensive,8,2057.92,2021
P502661,C102661,Comprehensive,10,2042.38,2023
P502662,C102662,Collision,5,1425.66,2022
P502663,C102663,Comprehensive,4,1388.84,2022
P502664,C102664,Liability,4,1055.6,2024
P502665,C102665,Liability,3,927.36,2021
P502666,C102666,Collision,5,836.79,2022
P502667,C102667,Collision,9,1267.96,2023
P502668,C102668,Comprehensive,15,1257.47,2023
P502669,C102669,Collision,7,1666.54,2023
P502670,C102670,Liability,9,648.49,2024
P502671,C102671,Liability,5,823.67,2022
P502672,C102672,Collision,11,1407.84,2022
P502673,C102673,Collision,3,989.75,2022
P502674,C102674,Collision,2,1698.3,2022
P502675,C102675,Comprehensive,5,1735.9,2022
P502676,C102676,Liability,7,991.99,2022
P502677,C102677,Collision,2,1337.92,2022
P502678,C102678,Liability,16,1250.42,2024
P502679,C102679,Collision,3,1387.21,2022
P502680,C102680,Comprehensive,4,1716.2,2022
P502681,C102681,Collision,7,1288.27,2022
P502682,C102682,Collision,7,1395.59,2022
P502683,C102683,Liability,11,1039.13,2023
P502684,C102684,Comprehensive,9,2359.65,2024
P502685,C102685,Collision,3,1641.02,2022
P502686,C102686,Comprehensive,4,1225.69,2023
P502687,C102687,Liability,8,622.77,2023
P502688,C102688,Liability,5,1286.8,2023
P502689,C102689,Collision,3,1418.59,2023
P502690,C102690,Collision,1,1560.36,2022
P502691,C102691,Collision,13,1532.18,2022
P502692,C102692,Collision,4,1376.79,2021
P502693,C102693,Collision,8,1854.64,2021
P502694,C102694,Collision,3,1629.06,2021
P502695,C102695,Liability,7,1114.18,2021
P502696,C102696,Collision,1,960.51,2021
P502697,C102697,Comprehensive,3,2087.48,2021
P502698,C102698,Collision,4,2588.63,2022
P502699,C102699,Comprehensive,3,1821.46,2021
P502700,C102700,Comprehensive,3,1273.18,2023
P502701,C102701,Collision,9,1630.25,2022
P502702,C102702,Comprehensive,4,1782.36,2024
P502703,C102703,Collision,2,1937.92,2021
P502704,C102704,Liability,4,667.26,2023
P502705,C102705,Liability,1,1266.89,2021
P502706,C102706,Collision,4,1043.18,2024
P502707,C102707,Liability,4,1000.29,2023
P502708,C102708,Comprehensive,4,1274.74,2024
P502709,C102709,Comprehensive,2,1658.23,2021
P502710,C102710,Collision,6,1853.71,2023
P502711,C102711,Collision,5,891.27,2021
P502712,C102712,Comprehensive,13,2752.92,2022
P502713,C102713,Comprehensive,10,1876.82,2024
P502714,C102714,Liability,3,1020.23,2022
P502715,C102715,Comprehensive,3,1601.37,2023
P502716,C102716,Collision,10,1321.19,2023
P502717,C102717,Liability,2,1117.59,2022
P502718,C102718,Liability,3,849.65,2021
P502719,C102719,Comprehensive,7,1147.99,2024
P502720,C102720,Liability,3,931.47,2023
P502721,C102721,Comprehensive,7,1978.41,2024
P502722,C102722,Comprehensive,1,2726.94,2023
P502723,C102723,Liability,4,1093.36,2021
P502724,C102724,Collision,11,1388.17,2022
P502725,C102725,Collision,3,1391.87,2022
P502726,C102726,Liability,4,825.35,2024
P502727,C102727,Collision,4,2323.32,2021
P502728,C102728,Comprehensive,4,1734.75,2022
P502729,C102729,Collision,1,1538.67,2024
P502730,C102730,Collision,10,2397.96,2021
P502731,C102731,Comprehensive,5,1472.66,2024
P502732,C102732,Comprehensive,7,1926.86,2023
P502733,C102733,Comprehensive,11,1257.53,2022
P502734,C102734,Liability,4,957.18,2021
P502735,C102735,Liability,6,1051.05,2024
P502736,C102736,Collision,0,955.18,2021
P502737,C102737,Liability,1,905.15,2024
P502738,C102738,Collision,5,1533.59,2023
P502739,C102739,Comprehensive,2,1442.1,2021
P502740,C102740,Comprehensive,7,1987.58,2023
P502741,C102741,Collision,8,1361.58,2023
P502742,C102742,Comprehensive,3,2454.91,2022
P502743,C102743,Collision,8,2063.95,2024
P502744,C102744,Collision,4,1025.62,2024
P502745,C102745,Liability,12,1246.12,2024
P502746,C102746,Liability,2,784.29,2021
P502747,C102747,Comprehensive,5,1713.82,2022
P502748,C102748,Collision,6,1529.18,2024
P502749,C102749,Comprehensive,9,2300.33,2022
P502750,C102750,Liability,8,1346.53,2021
P502751,C102751,Liability,4,1068.22,2021
P502752,C102752,Liability,4,708.13,2024
P502753,C102753,Collision,3,1003.31,2022
P502754,C102754,Collision,11,1527.45,2022
P502755,C102755,Collision,14,2025.9,2023
P502756,C102756,Liability,1,880.08,2024
P502757,C102757,Liability,10,1416.52,2023
P502758,C102758,Liability,8,1073.4,2024
P502759,C102759,Liability,0,963.13,2021
P502760,C102760,Comprehensive,9,2527.6,2024
P502761,C102761,Liability,13,1184.47,2021
P502762,C102762,Liability,9,1155.78,2022
P502763,C102763,Comprehensive,2,1917.33,2024
P502764,C102764,Comprehensive,16,2349.69,2023
P502765,C102765,Collision,10,1479.53,2022
P502766,C102766,Liability,3,961.84,2023
P502767,C102767,Collision,7,2026.36,2024
P502768,C102768,Liability,7,744.54,2022
P502769,C102769,Liability,2,1081.69,2024
P502770,C102770,Comprehensive,6,1897.35,2023
P502771,C102771,Comprehensive,7,2132.23,2024
P502772,C102772,Liability,4,1286.66,2024
P502773,C102773,Comprehensive,13,2323.65,2023
P502774,C102774,Collision,4,1424.12,2023
P502775,C102775,Collision,8,1060.97,2021
P502776,C102776,Liability,5,880.38,2024
P502777,C102777,Comprehensive,3,2448.16,2024
P502778,C102778,Liability,6,888.63,2023
P502779,C102779,Liability,5,1068.05,2022
P502780,C102780,Liability,16,1402.49,2023
P502781,C102781,Collision,10,1240.72,2021
P502782,C102782,Comprehensive,1,1443.63,2021
P502783,C102783,Liability,3,949.12,2024
P502784,C102784,Liability,3,842.31,2021
P502785,C102785,Comprehensive,0,2972.72,2023
P502786,C102786,Collision,8,1233.92,2022
P502787,C102787,Comprehensive,7,2144.56,2021
P502788,C102788,Comprehensive,2,2169.91,2022
P502789,C102789,Comprehensive,2,1723.07,2024
P502790,C102790,Collision,1,1588.47,2021
P502791,C102791,Liability,3,1160.88,2021
P502792,C102792,Collision,7,1683.87,2024
P502793,C102793,Collision,17,2085.41,2024
P502794,C102794,Collision,1,1419.65,2023
P502795,C102795,Collision,6,967.16,2023
P502796,C102796,Liability,19,1180.15,2022
P502797,C102797,Collision,5,850.07,2024
P502798,C102798,Collision,5,1344.42,2021
P502799,C102799,Comprehensive,5,1960.04,2021
P502800,C102800,Liability,5,778.19,2023
P502801,C102801,Collision,8,1254.65,2024
P502802,C102802,Collision,22,1798.66,2024
P502803,C102803,Liability,3,1062.69,2022
P502804,C102804,Collision,2,1075.45,2024
P502805,C102805,Collision,2,1804.18,2021
P502806,C102806,Comprehensive,9,1939.03,2021
P502807,C102807,Liability,6,1200.27,2023
P502808,C102808,Comprehensive,10,1290.82,2023
P502809,C102809,Liability,1,1018.05,2022
P502810,C102810,Collision,4,1914.88,2023
P502811,C102811,Collision,8,956.66,2021
P502812,C102812,Liability,1,1053.62,2024
P502813,C102813,Liability,6,765.04,2023
P502814,C102814,Liability,5,1128.55,2024
P502815,C102815,Collision,14,2596.33,2023
P502816,C102816,Collision,2,1428.55,2024
P502817,C102817,Comprehensive,10,1731.57,2024
P502818,C102818,Liability,4,1066.36,2023
P502819,C102819,Comprehensive,1,1254.72,2022
P502820,C102820,Comprehensive,3,1596.71,2022
P502821,C102821,Liability,10,1528.15,2022
P502822,C102822,Comprehensive,9,2209.98,2022
P502823,C102823,Comprehensive,8,2875.4,2024
P502824,C102824,Liability,2,805.21,2023
P502825,C102825,Collision,15,1435.14,2023
P502826,C102826,Comprehensive,5,2844.13,2021
P502827,C102827,Comprehensive,4,2347.22,2024
P502828,C102828,Comprehensive,5,1406.12,2021
P502829,C102829,Collision,2,1422.95,2023
P502830,C102830,Liability,1,940.77,2024
P502831,C102831,Collision,5,1222.42,2021
P502832,C102832,Collision,1,797.15,2024
P502833,C102833,Collision,9,1994.92,2023
P502834,C102834,Collision,13,2388.1,2023
P502835,C102835,Collision,22,1729.83,2022
P502836,C102836,Comprehensive,3,1786.36,2023
P502837,C102837,Collision,9,2077.48,2024
P502838,C102838,Collision,0,1363.28,2021
P502839,C102839,Comprehensive,9,1537.47,2021
P502840,C102840,Liability,5,712.96,2021
P502841,C102841,Collision,7,1164.38,2024
P502842,C102842,Collision,12,2078.34,2023
P502843,C102843,Collision,4,909.57,2023
P502844,C102844,Comprehensive,8,1959.29,2021
P502845,C102845,Comprehensive,7,1617.73,2022
P502846,C102846,Collision,6,1288.87,2023
P502847,C102847,Comprehensive,3,1599.14,2021
P502848,C102848,Collision,2,1044.37,2023
P502849,C102849,Collision,4,826.64,2021
P502850,C102850,Comprehensive,9,2120.47,2024
P502851,C102851,Collision,6,1600.41,2021
P502852,C102852,Comprehensive,8,2941.64,2024
P502853,C102853,Comprehensive,7,1726.24,2024
P502854,C102854,Liability,21,877.17,2021
P502855,C102855,Comprehensive,9,2261.51,2023
P502856,C102856,Collision,3,1410.25,2022
P502857,C102857,Collision,5,1308.48,2023
P502858,C102858,Comprehensive,10,2765.53,2023
P502859,C102859,Collision,1,1134.94,2024
P502860,C102860,Liability,5,1557.72,2023
P502861,C102861,Comprehensive,4,1137.59,2021
P502862,C102862,Liability,2,962.14,2023
P502863,C102863,Comprehensive,2,1060.47,2024
P502864,C102864,Comprehensive,9,1525.78,2021
P502865,C102865,Comprehensive,9,1804.46,2021
P502866,C102866,Collision,4,1293.12,2022
P502867,C102867,Comprehensive,4,1225.16,2024
P502868,C102868,Collision,5,2047.57,2024
P502869,C102869,Liability,0,908.68,2021
P502870,C102870,Comprehensive,16,1968.78,2022
P502871,C102871,Comprehensive,8,1292.2,2024
P502872,C102872,Comprehensive,10,2529.63,2023
P502873,C102873,Collision,4,1292.45,2022
P502874,C102874,Liability,8,1104.81,2023
P502875,C102875,Liability,2,1003.08,2021
P502876,C102876,Collision,8,1049.73,2023
P502877,C102877,Comprehensive,5,2645.02,2021
P502878,C102878,Collision,2,1502.6,2023
P502879,C102879,Liability,14,1633.64,2023
P502880,C102880,Liability,8,1076.84,2022
P502881,C102881,Collision,22,2057.84,2023
P502882,C102882,Collision,3,1574.32,2024
P502883,C102883,Comprehensive,5,2071.73,2023
P502884,C102884,Comprehensive,8,1998.02,2021
P502885,C102885,Collision,1,659.18,2021
P502886,C102886,Collision,6,1315.83,2022
P502887,C102887,Liability,9,1039.0,2024
P502888,C102888,Collision,2,1643.35,2021
P502889,C102889,Collision,5,1160.84,2021
P502890,C102890,Collision,3,1109.09,2024
P502891,C102891,Collision,7,968.24,2024
P502892,C102892,Comprehensive,8,1971.63,2022
P502893,C102893,Collision,5,1464.59,2023
P502894,C102894,Collision,9,1356.51,2023
P502895,C102895,Collision,2,1436.34,2023
P502896,C102896,Collision,9,1605.84,2024
P502897,C102897,Liability,16,1292.09,2024
P502898,C102898,Comprehensive,2,1255.52,2023
P502899,C102899,Liability,2,1205.28,2021
P502900,C102900,Liability,13,1115.11,2021
P502901,C102901,Collision,6,1224.36,2023
P502902,C102902,Collision,9,1916.21,2021
P502903,C102903,Collision,3,1680.19,2024
P502904,C102904,Comprehensive,4,1731.17,2023
P502905,C102905,Liability,11,684.92,2021
P502906,C102906,Liability,4,1110.22,2022
P502907,C102907,Liability,3,998.28,2022
P502908,C102908,Liability,1,603.9,2023
P502909,C102909,Comprehensive,4,1624.24,2022
P502910,C102910,Collision,2,1311.83,2023
P502911,C102911,Liability,2,1510.93,2022
P502912,C102912,Collision,3,1325.92,2023
P502913,C102913,Comprehensive,10,1856.35,2022
P502914,C102914,Comprehensive,1,2134.99,2022
P502915,C102915,Collision,6,953.92,2021
P502916,C102916,Collision,4,1412.58,2024
P502917,C102917,Liability,7,826.66,2023
P502918,C102918,Comprehensive,7,1731.23,2021
P502919,C102919,Comprehensive,3,2044.38,2022
P502920,C102920,Collision,10,1060.33,2022
P502921,C102921,Collision,17,1945.99,2021
P502922,C102922,Collision,2,1698.77,2023
P502923,C102923,Collision,8,1692.68,2023
P502924,C102924,Collision,5,1586.29,2022
P502925,C102925,Comprehensive,5,1978.07,2023
P502926,C102926,Comprehensive,10,2084.42,2023
P502927,C102927,Comprehensive,8,1759.71,2024
P502928,C102928,Collision,4,1728.18,2023
P502929,C102929,Collision,11,1286.96,2023
P502930,C102930,Collision,5,1455.89,2023
P502931,C102931,Liability,3,847.99,2021
P502932,C102932,Collision,6,1601.51,2024
P502933,C102933,Liability,12,1206.34,2021
P502934,C102934,Collision,1,1449.57,2022
P502935,C102935,Liability,8,913.14,2024
P502936,C102936,Collision,1,765.07,2023
P502937,C102937,Comprehensive,9,2122.48,2022
P502938,C102938,Liability,7,1043.35,2024
P502939,C102939,Liability,14,857.37,2022
P502940,C102940,Collision,2,1224.89,2022
P502941,C102941,Collision,6,1017.92,2024
P502942,C102942,Comprehensive,3,1738.79,2023
P502943,C102943,Collision,4,779.72,2023
P502944,C102944,Comprehensive,16,2098.45,2021
P502945,C102945,Liability,7,769.77,2024
P502946,C102946,Liability,8,688.5,2022
P502947,C102947,Comprehensive,4,1468.66,2023
P502948,C102948,Liability,5,634.56,2022
P502949,C102949,Collision,11,929.3,2023
P502950,C102950,Collision,14,1295.82,2023
P502951,C102951,Comprehensive,5,2330.55,2024
P502952,C102952,Collision,12,1311.08,2024
P502953,C102953,Comprehensive,5,1891.77,2021
P502954,C102954,Collision,3,1866.22,2024
P502955,C102955,Liability,6,1180.52,2022
P502956,C102956,Liability,3,756.23,2023
P502957,C102957,Collision,6,947.69,2024
P502958,C102958,Liability,2,889.69,2023
P502959,C102959,Collision,8,1258.24,2023
P502960,C102960,Collision,2,1053.02,2022
P502961,C102961,Collision,3,1887.3,2023
P502962,C102962,Collision,3,1610.82,2023
P502963,C102963,Comprehensive,2,1529.44,2021
P502964,C102964,Liability,5,797.37,2023
P502965,C102965,Comprehensive,0,1700.04,2023
P502966,C102966,Collision,5,2660.65,2022
P502967,C102967,Comprehensive,0,1934.23,2023
P502968,C102968,Collision,7,1719.92,2024
P502969,C102969,Liability,2,1535.93,2023
P502970,C102970,Comprehensive,7,1951.06,2022
P502971,C102971,Comprehensive,12,2438.79,2021
P502972,C102972,Comprehensive,3,1948.89,2021
P502973,C102973,Comprehensive,6,1654.78,2022
P502974,C102974,Liability,2,1040.03,2022
P502975,C102975,Comprehensive,7,2058.88,2021
P502976,C102976,Comprehensive,8,2112.3,2023
P502977,C102977,Comprehensive,1,1370.18,2024
P502978,C102978,Collision,8,1576.77,2023
P502979,C102979,Comprehensive,19,2242.41,2023
P502980,C102980,Collision,4,1522.1,2023
P502981,C102981,Collision,4,1532.56,2024
P502982,C102982,Comprehensive,10,2088.7,2022
P502983,C102983,Liability,3,710.06,2024
P502984,C102984,Comprehensive,2,1191.85,2024
P502985,C102985,Collision,5,1083.95,2022
P502986,C102986,Liability,9,641.5,2024
P502987,C102987,Collision,5,1466.83,2024
P502988,C102988,Collision,4,1796.2,2024
P502989,C102989,Liability,7,1000.06,2022
P502990,C102990,Comprehensive,3,1809.77,2024
P502991,C102991,Collision,6,1450.41,2023
P502992,C102992,Comprehensive,1,1086.46,2021
P502993,C102993,Liability,7,1265.57,2021
P502994,C102994,Liability,11,1366.71,2022
P502995,C102995,Liability,13,792.84,2023
P502996,C102996,Liability,9,736.05,2024
P502997,C102997,Comprehensive,8,1447.21,2021
P502998,C102998,Collision,5,1374.65,2022
P502999,C102999,Comprehensive,8,2253.98,2024
P503000,C103000,Comprehensive,5,1912.32,2022
P503001,C103001,Liability,2,1177.64,2023
P503002,C103002,Comprehensive,11,2343.11,2022
P503003,C103003,Comprehensive,1,1750.22,2021
P503004,C103004,Liability,4,968.74,2021
P503005,C103005,Collision,3,1132.11,2023
P503006,C103006,Collision,5,1873.11,2021
P503007,C103007,Collision,9,813.4,2021
P503008,C103008,Collision,8,2021.98,2022
P503009,C103009,Collision,1,1415.45,2024
P503010,C103010,Collision,2,1154.31,2023
P503011,C103011,Collision,8,1640.95,2022
P503012,C103012,Collision,20,1663.73,2023
P503013,C103013,Comprehensive,3,1692.17,2024
P503014,C103014,Liability,2,870.06,2024
P503015,C103015,Liability,4,1138.74,2024
P503016,C103016,Collision,1,1679.03,2023
P503017,C103017,Collision,5,2177.37,2022
P503018,C103018,Collision,6,964.61,2023
P503019,C103019,Collision,11,1743.27,2021
P503020,C103020,Liability,7,941.75,2024
P503021,C103021,Collision,9,1084.73,2022
P503022,C103022,Collision,5,1089.89,2023
P503023,C103023,Collision,16,2290.36,2023
P503024,C103024,Collision,1,1926.47,2022
P503025,C103025,Collision,5,1488.74,2024
P503026,C103026,Collision,5,1747.9,2024
P503027,C103027,Comprehensive,3,1687.94,2023
P503028,C103028,Collision,12,1971.53,2024
P503029,C103029,Comprehensive,0,2200.24,2024
P503030,C103030,Comprehensive,2,1753.8,2022
P503031,C103031,Collision,6,1373.48,2023
P503032,C103032,Comprehensive,4,1518.93,2024
P503033,C103033,Collision,5,1338.96,2021
P503034,C103034,Comprehensive,2,1585.93,2023
P503035,C103035,Comprehensive,3,2575.44,2022
P503036,C103036,Collision,10,1660.21,2022
P503037,C103037,Collision,8,1424.21,2021
P503038,C103038,Collision,5,1010.88,2022
P503039,C103039,Collision,9,1245.28,2024
P503040,C103040,Collision,10,1489.03,2021
P503041,C103041,Collision,18,1012.64,2022
P503042,C103042,Collision,8,1442.18,2024
P503043,C103043,Collision,10,1270.2,2021
P503044,C103044,Comprehensive,3,2084.38,2024
P503045,C103045,Collision,7,1093.34,2024
P503046,C103046,Collision,5,944.97,2024
P503047,C103047,Comprehensive,10,1645.16,2024
P503048,C103048,Comprehensive,10,1404.5,2024
P503049,C103049,Collision,9,997.45,2022
P503050,C103050,Liability,12,917.19,2024
P503051,C103051,Collision,7,1406.84,2023
P503052,C103052,Collision,3,873.99,2021
P503053,C103053,Liability,8,1200.39,2024
P503054,C103054,Comprehensive,10,1863.15,2021
P503055,C103055,Liability,10,1572.33,2021
P503056,C103056,Collision,4,898.22,2021
P503057,C103057,Collision,1,1104.6,2022
P503058,C103058,Collision,13,1426.1,2022
P503059,C103059,Collision,3,760.82,2022
P503060,C103060,Comprehensive,5,1768.35,2024
P503061,C103061,Comprehensive,4,2113.74,2024
P503062,C103062,Liability,6,952.22,2022
P503063,C103063,Comprehensive,4,1759.42,2023
P503064,C103064,Collision,6,1528.62,2024
P503065,C103065,Collision,3,1774.78,2021
P503066,C103066,Comprehensive,12,1937.63,2021
P503067,C103067,Comprehensive,8,2071.6,2022
P503068,C103068,Collision,6,1786.7,2022
P503069,C103069,Collision,1,1076.37,2021
P503070,C103070,Liability,2,1608.6,2024
P503071,C103071,Collision,9,2864.75,2021
P503072,C103072,Collision,3,1947.28,2022
P503073,C103073,Collision,7,2210.3,2021
P503074,C103074,Comprehensive,4,1896.25,2022
P503075,C103075,Collision,6,1593.31,2021
P503076,C103076,Collision,4,1685.64,2021
P503077,C103077,Collision,5,1175.18,2023
P503078,C103078,Comprehensive,9,1783.08,2022
P503079,C103079,Comprehensive,9,2407.54,2022
P503080,C103080,Comprehensive,6,1306.41,2024
P503081,C103081,Liability,9,603.32,2024
P503082,C103082,Comprehensive,2,2079.32,2023
P503083,C103083,Comprehensive,5,2273.39,2021
P503084,C103084,Liability,4,1291.09,2024
P503085,C103085,Collision,4,2193.23,2022
P503086,C103086,Collision,3,1564.31,2023
P503087,C103087,Collision,11,2209.88,2024
P503088,C103088,Comprehensive,2,1932.52,2024
P503089,C103089,Comprehensive,3,1992.04,2022
P503090,C103090,Liability,6,810.24,2023
P503091,C103091,Liability,4,1154.56,2024
P503092,C103092,Liability,4,1237.29,2023
P503093,C103093,Comprehensive,4,1469.25,2023
P503094,C103094,Liability,8,977.07,2021
P503095,C103095,Collision,11,1288.73,2023
P503096,C103096,Collision,9,1292.53,2021
P503097,C103097,Liability,17,1055.03,2022
P503098,C103098,Liability,15,744.21,2022
P503099,C103099,Comprehensive,1,1631.78,2023
P503100,C103100,Collision,11,1282.44,2021
P503101,C103101,Collision,14,1098.91,2021
P503102,C103102,Collision,8,1834.51,2021
P503103,C103103,Liability,5,1042.14,2022
P503104,C103104,Collision,3,2160.37,2021
P503105,C103105,Liability,8,964.9,2024
P503106,C103106,Collision,2,1701.69,2024
P503107,C103107,Liability,6,1297.55,2022
P503108,C103108,Collision,24,1786.89,2023
P503109,C103109,Liability,2,1084.5,2023
P503110,C103110,Liability,6,690.21,2021
P503111,C103111,Comprehensive,10,1521.82,2023
P503112,C103112,Collision,6,1355.67,2024
P503113,C103113,Comprehensive,8,2508.87,2024
P503114,C103114,Comprehensive,2,1770.14,2022
P503115,C103115,Collision,16,1839.35,2021
P503116,C103116,Collision,6,2524.19,2024
P503117,C103117,Comprehensive,2,1198.21,2024
P503118,C103118,Collision,10,1605.45,2022
P503119,C103119,Liability,16,1341.38,2021
P503120,C103120,Liability,4,1244.78,2023
P503121,C103121,Comprehensive,5,2338.14,2022
P503122,C103122,Liability,11,976.11,2024
P503123,C103123,Comprehensive,9,1679.74,2021
P503124,C103124,Collision,3,1539.5,2022
P503125,C103125,Collision,1,1593.85,2022
P503126,C103126,Collision,16,1840.02,2023
P503127,C103127,Collision,4,1615.81,2023
P503128,C103128,Collision,2,963.65,2024
P503129,C103129,Comprehensive,3,1833.16,2022
P503130,C103130,Comprehensive,13,2131.28,2021
P503131,C103131,Collision,0,716.1,2024
P503132,C103132,Collision,11,1653.61,2023
P503133,C103133,Collision,8,1537.68,2024
P503134,C103134,Collision,4,1036.16,2024
P503135,C103135,Comprehensive,6,1827.96,2023
P503136,C103136,Liability,9,789.74,2021
P503137,C103137,Comprehensive,4,2372.95,2022
P503138,C103138,Collision,3,1356.07,2023
P503139,C103139,Collision,9,2133.96,2024
P503140,C103140,Collision,6,1294.26,2022
P503141,C103141,Collision,13,1395.8,2023
P503142,C103142,Liability,13,1441.15,2021
P503143,C103143,Collision,5,1392.28,2021
P503144,C103144,Collision,5,1594.08,2021
P503145,C103145,Liability,12,1391.28,2021
P503146,C103146,Liability,10,1054.62,2021
P503147,C103147,Comprehensive,8,2042.3,2023
P503148,C103148,Comprehensive,11,1812.11,2024
P503149,C103149,Collision,2,915.34,2024
P503150,C103150,Liability,8,1871.89,2022
P503151,C103151,Collision,3,2476.75,2024
P503152,C103152,Comprehensive,10,1060.53,2021
P503153,C103153,Comprehensive,8,1235.22,2023
P503154,C103154,Comprehensive,11,2792.78,2023
P503155,C103155,Comprehensive,13,2370.14,2022
P503156,C103156,Comprehensive,2,1346.77,2021
P503157,C103157,Liability,8,1206.52,2022
P503158,C103158,Collision,4,1513.52,2021
P503159,C103159,Comprehensive,9,1874.31,2024
P503160,C103160,Liability,4,1036.6,2024
P503161,C103161,Liability,4,730.63,2021
P503162,C103162,Comprehensive,6,1500.32,2024
P503163,C103163,Comprehensive,2,2095.52,2024
P503164,C103164,Liability,3,1910.08,2022
P503165,C103165,Collision,8,1457.25,2023
P503166,C103166,Liability,15,890.35,2022
P503167,C103167,Liability,1,664.29,2021
P503168,C103168,Liability,3,1003.66,2023
P503169,C103169,Comprehensive,7,1900.51,2022
P503170,C103170,Collision,1,1075.54,2024
P503171,C103171,Comprehensive,5,2027.49,2024
P503172,C103172,Liability,7,937.49,2021
P503173,C103173,Liability,6,1296.08,2021
P503174,C103174,Liability,4,1051.1,2021
P503175,C103175,Comprehensive,2,1289.73,2023
P503176,C103176,Comprehensive,21,2555.19,2022
P503177,C103177,Collision,3,1367.8,2023
P503178,C103178,Collision,9,1364.61,2023
P503179,C103179,Liability,8,829.49,2021
P503180,C103180,Liability,5,1339.2,2024
P503181,C103181,Liability,4,1237.81,2022
P503182,C103182,Liability,2,880.02,2023
P503183,C103183,Comprehensive,10,1882.05,2024
P503184,C103184,Collision,11,1698.08,2021
P503185,C103185,Comprehensive,5,2092.77,2023
P503186,C103186,Comprehensive,3,1857.06,2024
P503187,C103187,Comprehensive,3,2063.5,2021
P503188,C103188,Collision,5,1228.48,2023
P503189,C103189,Liability,3,1342.53,2021
P503190,C103190,Liability,6,748.68,2022
P503191,C103191,Liability,7,992.13,2024
P503192,C103192,Liability,7,1073.33,2024
P503193,C103193,Liability,3,1274.97,2024
P503194,C103194,Collision,3,1285.66,2024
P503195,C103195,Collision,5,1640.03,2024
P503196,C103196,Collision,10,1207.25,2021
P503197,C103197,Collision,7,1937.41,2023
P503198,C103198,Liability,2,1132.58,2023
P503199,C103199,Liability,7,934.15,2021
P503200,C103200,Collision,0,1347.08,2022
P503201,C103201,Comprehensive,9,2162.67,2022
P503202,C103202,Comprehensive,11,2171.54,2023
P503203,C103203,Comprehensive,4,2081.88,2023
P503204,C103204,Collision,6,1492.69,2024
P503205,C103205,Comprehensive,3,1626.58,2021
P503206,C103206,Comprehensive,2,2140.33,2023
P503207,C103207,Comprehensive,10,2440.68,2021
P503208,C103208,Liability,3,1410.5,2024
P503209,C103209,Comprehensive,6,1892.29,2022
P503210,C103210,Collision,8,1119.2,2022
P503211,C103211,Collision,6,1391.81,2022
P503212,C103212,Collision,2,1260.76,2021
P503213,C103213,Collision,5,1376.74,2021
P503214,C103214,Comprehensive,9,1197.7,2022
P503215,C103215,Comprehensive,5,1404.46,2021
P503216,C103216,Collision,5,1340.9,2023
